hex,type,flight,r,t,alt_baro,gs,track,baro_rate,lat,lon,nic,rc,seen_pos,mlat,tisb,messages,seen,rssi,is_spoofed
a03064,adsb_icao,N111EX  ,N111EX,C172,1800,123.7,18.87,,30.258722,-89.816638,10,25,0.579,[],[],155568,0.6,-25.3,False
ac97e4,adsb_icao,AAL564  ,N910NN,B738,17375,375.6,356.64,-1216,37.852341,-89.815278,8,186,0.48,[],[],5973018,0.0,-15.2,False
a76f87,adsb_icao,UAL1500 ,N57870,B753,24000,410.2,29.5,-64,41.27233,-89.803931,8,186,0.004,[],[],3015113,0.0,-10.3,False
ad5d3a,adsb_icao,MJR960  ,N960MA,E55P,4075,214.5,240.69,0,35.296692,-89.772091,8,186,0.52,[],[],1445037,0.1,-6.7,False
a8955e,adsb_icao,NKS202  ,N652NK,A320,37000,498.6,74.29,-64,36.157449,-89.757892,8,186,0.48,[],[],6704802,0.0,-14.2,False
aa7ac8,adsb_icao,SWA1977 ,N7744A,B737,36000,434.2,344.78,0,29.670302,-89.740098,8,186,0.221,[],[],7178806,0.2,-12.1,False
ad2fcd,adsb_icao,NKS1257 ,N949NK,A20N,37975,428.7,352.49,0,33.478729,-89.734021,8,186,0.303,[],[],6818868,0.3,-14.6,False
aca760,adsb_icao,AAL2419 ,N914UY,A321,34025,412.7,252.22,0,31.707413,-89.71624,8,186,0.2,[],[],7492446,0.0,-19.6,False
a349be,adsb_icao,JBU1303 ,N3104J,BCS3,36000,426.6,245.78,,44.352039,-89.676908,8,186,0.063,[],[],1295871,0.1,-5.5,False
a018ee,adsb_icao,SKW2932 ,N105SY,E75L,6250,226.7,239.82,-1216,35.387192,-89.620628,8,186,0.104,[],[],7479689,0.1,-12.5,False
a8a785,other,JBU1240 ,N657JB,A320,34025,410.0,310.0,0,21.026459,-89.619059,0,0,5.824,[],[],7257891,5.5,-17.0,False
a50ff5,adsb_icao,UAL766  ,N425UA,A320,14450,326.3,65.95,-1792,41.82388,-89.614968,8,186,0.324,[],[],7118150,0.2,-9.2,False
ac53be,adsb_icao,ASH6367 ,N89362,E75L,36000,409.1,249.84,0,33.669891,-89.613629,8,186,0.034,[],[],5291591,0.0,-14.8,False
a70b2f,adsb_icao,GJS4527 ,N553GJ,CRJ7,37825,425.3,285.41,,36.598663,-89.606495,8,186,0.034,[],[],4438786,0.0,-19.6,False
a235b7,adsb_icao,SWA1966 ,N241WN,B737,37000,459.2,73.81,64,43.096572,-89.567936,7,371,0.422,[],[],7414309,0.1,-5.4,False
c01bf7,adsb_icao,CFKPI   ,C-FKPI,PC12,4000,199.0,0.58,,48.304871,-89.562448,9,75,0.283,[],[],697500,0.3,-3.2,False
ada699,adsb_icao,RPA3680 ,N979RP,E170,28525,435.4,8.19,-2368,37.238434,-89.556515,8,186,0.243,[],[],6651416,0.2,-12.9,False
3c64c3,adsb_icao,DLH439  ,D-AIFC,A343,33000,526.3,17.47,-64,42.163376,-89.516352,8,186,0.2,[],[],5585841,0.0,-7.9,False
acfd29,adsb_icao,NKS1017 ,N936NK,A20N,36025,443.6,339.69,0,27.755375,-89.5044,8,186,15.549,[],[],6665860,13.9,-27.8,False
a17b16,adsb_icao,DAL539  ,N195DN,B763,37025,495.6,85.37,-64,36.768082,-89.500008,8,186,0.221,[],[],7715094,0.2,-13.3,False
a641fd,adsb_icao,GJS4452 ,N502GJ,CRJ7,32725,502.0,0.11,,40.621078,-89.483154,8,186,0.464,[],[],3002898,0.1,-9.6,False
